time,open,high,low,close,SH Ext,SH,SL Ext,SL,VWAP MIDDLE,BB Red Line,BB Top,BB Bottom,Long Plot,Short Plot,Shapes,Shapes,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1616284800,58126.34,58651.22,55543.89,57363.32,61788.45,61788.45,53221,53221,57186.14333333333,54848.31749999998,62905.71471364188,46790.92028635809,59914.572955441785,58734.44044109366,NaN,NaN,58.50017862905887,63.35858238608416,NaN,NaN
1616371200,57377.29,58421.68,53739.5,54110.07,61788.45,61788.45,53221,53221,55423.74999999999,55128.24099999998,62657.27980547094,47599.20219452902,59517.814000274855,57222.93371002735,NaN,NaN,50.32145754975434,62.62062376119114,NaN,NaN
1616457600,54111.49,55858,53000,54345.54,61788.45,61788.45,53221,53221,54401.18,55327.51799999998,62545.75045453034,48109.285545469626,58565.914489133494,56520.070116782714,NaN,NaN,50.85699853363235,61.6231315938375,NaN,NaN
1616544000,54333.27,57209.97,51673.82,52276.16,61788.45,61788.45,53221,53221,53719.98333333334,55522.89999999999,62165.70134882638,48880.0986511736,57759.1488202781,54576.15035795117,NaN,NaN,46.14861447628732,60.18239140353588,NaN,NaN
1616630400,52259.69,53238,50305,51325.01,61788.45,61788.45,53221,50305,51622.67,55650.67699999998,61852.62787456336,49448.7261254366,56214.87812451307,53555.2162930458,NaN,NaN,44.126462840119295,58.3974746388895,NaN,NaN
1616716800,51320.76,55125.13,51250,55072.44,61788.45,61788.45,53221,50305,53815.85666666667,55958.806999999986,61349.8656322553,50567.74836774467,55421.58339017799,53201.82001991217,NaN,NaN,52.885882156459054,57.36982757526913,NaN,NaN
1616803200,55080.9,56640,53966,55856.53,61788.45,61788.45,53221,50305,55487.51,56202.70299999998,61088.109004247315,51317.296995752644,54634.51219482756,53475.32211604006,NaN,NaN,54.49341718339202,56.07971603209769,NaN,NaN
1616889600,55856.54,56587.08,54701,55778.82,61788.45,61788.45,53221,50305,55688.96666666667,56370.882499999985,60944.83040786319,51796.93459213678,54462.84240376528,53911.384784040965,NaN,54353.80172474608,54.29568816971596,55.233725051573295,NaN,NaN
1616976000,55781.22,58400,54900,57613.48,61788.45,61788.45,53221,50305,56971.16,56505.737499999974,61059.19225267408,51952.282747325866,54353.80172474608,54957.45721638223,NaN,NaN,58.15600431223676,55.258265634117365,NaN,NaN
1617062400,57613.76,59397.48,57000,58786.46,61788.45,61788.45,50305,50305,58394.64666666667,56650.525999999976,61299.69556936067,52001.35643063928,54897.385680035964,55822.56910754418,NaN,NaN,60.455694586739874,55.296864877911055,NaN,NaN
1617148800,58786.46,59800,56873.8,58800,61788.45,61788.45,50305,50305,58491.26666666666,56699.75249999998,61417.56062265272,51981.94437734724,55284.51215664697,56908.29367400676,NaN,NaN,60.482692878274776,55.117722163864144,NaN,NaN
1617235200,58800.01,59474.94,57930,58726.48,61788.45,61788.45,50305,50305,58710.473333333335,56774.78099999998,61570.753571628,51978.80842837196,56079.60928438724,57705.52602087869,NaN,NaN,60.242187616274684,55.14764051272575,NaN,NaN
1617321600,58726.47,60055.02,58441.88,58981.04,61788.45,60055.02,50305,50305,59159.31333333333,56664.90799999998,61142.4108924744,52187.40510752556,56784.286550726836,58521.6508798843,NaN,NaN,60.82307659739189,55.17193900792978,NaN,NaN
1617408000,58981.04,59752,56943,57094.34,61788.45,60055.02,50305,50305,57929.78,56570.989999999976,60928.10502885757,52213.87497114238,57508.982590437976,58492.01524297022,NaN,NaN,54.47076879327502,54.7327945944723,NaN,NaN
1617494400,57094.34,58500,56478.53,58215.94,61788.45,60055.02,50305,50305,57731.49,56699.97949999998,61091.36711049779,52308.59188950217,57933.15949759083,58994.90980666598,NaN,NaN,57.32418305666594,54.648794910729954,NaN,NaN
1617580800,58216.73,59251.76,56817.64,59123.02,61788.45,60055.02,50305,50305,58397.47333333333,56809.77499999998,61326.40785407127,52293.14214592869,58459.374080309906,59111.33622490867,NaN,NaN,59.53303891668055,55.30676500836754,NaN,NaN
1617667200,59134.07,59475,57333.33,58019.98,61788.45,60055.02,50305,50305,58276.103333333325,56764.496999999974,61213.02471944859,52315.969280551355,58776.353685344,59203.26325354204,58816.74840813109,NaN,55.753913998441675,55.65654468442535,NaN,NaN
1617753600,58021.67,58630,55400,55955.75,60055.02,60055.02,50305,55400,56661.916666666664,56680.036999999975,61122.63080871802,52237.44319128193,58816.74840813109,58479.5501876588,NaN,NaN,49.430137383392065,55.89093917778997,NaN,NaN
1617840000,55962.67,58152,55700,58083.1,60055.02,60055.02,50305,55400,57311.700000000004,56682.20899999997,61127.501239537494,52236.91676046245,58727.79581915008,58520.7299039762,NaN,NaN,55.084260481770805,56.673639009336505,NaN,NaN
1617926400,58083.1,58869.69,57670.51,58092.68,60055.02,60055.02,50305,55400,58210.96,56681.00799999997,61124.76205798315,52237.253942016796,58736.386341670506,57956.183763751156,NaN,NaN,55.108602011108204,56.83240471324001,NaN,NaN
1618012800,58092.68,61218.97,57875.41,59778.6,60055.02,60055.02,50305,55400,59624.32666666667,56801.771999999975,61440.146678664845,52163.397321335106,58847.158653261344,58632.670066560306,NaN,NaN,59.289869378809755,57.17500844148413,NaN,NaN
1618099200,59778.59,60658.89,59177.06,59985.26,60055.02,60055.02,50305,55400,59940.40333333333,57095.53149999997,61758.92171766277,52432.141282337165,59048.9442611114,58738.907827132796,NaN,NaN,59.78434411858744,57.567055294974956,NaN,NaN
1618185600,59983.66,61199,59369,59839.82,60055.02,60055.02,55400,55400,60135.94,57370.245499999975,62000.47988059403,52740.01111940592,59378.661491678205,59368.03381288267,NaN,59958.527987741756,59.23901141722695,57.644412945331396,NaN,NaN
1618272000,59836.88,63774.39,59799.01,63588.22,60055.02,60055.02,55400,55400,62387.20666666667,57935.848499999964,62700.52512754502,53171.17187245491,59958.527987741756,60506.186466039406,NaN,NaN,67.47382562152809,58.14570801924484,NaN,NaN
1618358400,63588.22,64899,61277.91,62971.8,60055.02,64899,55400,55400,63049.57000000001,58518.187999999966,62722.613116408436,54313.762883591495,60696.454994104926,61369.10751555364,NaN,NaN,65.14309045001767,58.47859356008361,NaN,NaN
1618444800,62971.8,63831.82,62036.73,63229.04,60055.02,64899,55400,55400,63032.530000000006,58926.01799999997,63293.589268011994,54558.44673198794,61431.08431410049,62469.98771250608,NaN,NaN,65.67593771379063,58.866718567049034,NaN,NaN
1618531200,63229.04,63604.34,60048.43,61427.27,60055.02,64899,55400,55400,61693.34666666666,59204.55499999996,63462.75278037221,54946.3572196277,61966.330664439716,62570.43073369093,NaN,NaN,58.8859206755512,58.72835028691755,NaN,NaN
1618617600,61427.27,62572.48,59700,60058.86,60055.02,64899,55400,55400,60777.11333333334,59418.55699999996,63386.918911583714,55450.1950884162,62311.300669340446,62391.221385250166,61523.61114302106,NaN,54.294744612047566,58.715777131115594,NaN,NaN
1618704000,60067.2,60437.97,51300,56274.41,60055.02,64899,55400,55400,56004.12666666667,59351.603499999954,63481.42633554582,55221.78066445409,61523.61114302106,60838.951602399175,NaN,NaN,44.062845802572525,57.768538755823215,NaN,NaN
1618790400,56273.65,57600,54187.85,55696.83,64899,64899,55400,55400,55828.22666666666,59197.12199999995,63620.647172277364,54773.59682772254,60919.95434451714,59640.18906738959,NaN,NaN,42.73906074833469,56.56896888665565,NaN,NaN
1618876800,55696.83,57111,53430.01,56499.29,64899,64899,55400,55400,55680.100000000006,59082.086499999954,63657.975551123716,54506.19744887619,59579.543816068166,58225.13897316466,NaN,NaN,45.202281519787434,55.81528085246606,NaN,NaN
